STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/05/2013,7.38,0.02,0,54,68,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/05/2013,9.17,0.23,0,57,62,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/05/2013,10.29,0.2,0,65,76,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/05/2013,8.72,0.01,0,71,84,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/05/2013,14.54,0.51,0,76,83,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",31/05/2013,12.08,0.3,0,71,77,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/06/2013,12.97,0.56,0,70,76,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/06/2013,6.26,0.01,0,58,63,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/06/2013,4.92,0,0,54,68,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/06/2013,6.04,0,0,60,72,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",05/06/2013,8.28,0.01,0,62,73,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",06/06/2013,9.17,0.15,0,58,64,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",07/06/2013,9.84,0,0,58,68,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",08/06/2013,5.37,0,0,62,74,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",09/06/2013,8.95,0.01,0,67,80,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/06/2013,4.25,0.26,0,71,76,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/06/2013,4.47,0,0,70,83,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/06/2013,8.05,0.75,0,75,86,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/06/2013,12.3,0,0,67,73,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/06/2013,7.83,0,0,64,78,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/06/2013,7.61,0.17,0,67,80,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/06/2013,9.17,0,0,76,86,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/06/2013,8.05,0.03,0,77,88,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/06/2013,11.63,0,0,63,71,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/06/2013,6.93,0,0,63,75,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/06/2013,5.82,0,0,71,86,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/06/2013,9.62,0.79,0,75,82,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/06/2013,8.5,0.04,0,73,80,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/06/2013,11.41,0.84,0,76,87,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/06/2013,10.07,0.18,0,76,89,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/06/2013,6.93,0.03,0,73,85,67
